year,ranking,name,university,solved,penalty,pa_time,pb_time,pc_time,pd_time,pe_time,pf_time,pg_time,ph_time,pi_time,pj_time,pk_time,pl_time,pm_time,pn_time
2014,1,Saboon,Sharif University of Technology,10,1080,2,9,96,16,111,29,93,261,179,144,0,,,
2014,2,We miss iliad,Sharif University of Technology,9,1035,2,28,165,20,141,77,54,0,212,196,0,,,
2014,3,Shire Aab,Sharif University of Technology,9,1123,4,11,51,47,234,16,129,175,0,296,0,,,
2014,4,Carrots in Black,Sharif University of Technology,8,748,3,19,70,35,235,117,95,0,134,0,0,,,
2014,5,iliad,Sharif University of Technology,8,751,5,13,39,21,240,66,50,237,0,0,0,,,
2014,6,Odd Factory,University of Tehran,8,938,7,22,89,43,232,58,135,0,292,0,0,,,
2014,7,Dark Side of Trianguli,Shahid Beheshti University,7,792,2,16,179,29,0,63,185,0,238,0,0,,,
2014,8,Triple Narengies :),University of Tehran,7,947,6,32,150,70,0,121,183,0,265,0,0,,,
2014,9,Naddaaf,Sharif University of Technology,7,1228,3,23,181,144,0,57,266,0,294,0,0,,,
2014,10,70856775327334,Islamic Azad University of Mashhad,6,381,7,23,108,34,0,46,143,0,0,0,0,,,
2014,11,Dark side of the Chorm,Shahid Beheshti University,6,423,4,20,94,33,0,96,156,0,0,0,0,,,
2014,12,NBA,Ferdowsi University of Mashhad,6,456,3,18,130,38,0,54,153,0,0,0,0,,,
2014,13,Charles Milles Manson,University of Tehran,6,482,4,17,122,72,0,74,153,0,0,0,0,,,
2014,14,Team Name,Amirkabir University of Technology,6,558,3,17,189,46,0,76,127,0,0,0,0,,,
2014,15,sakht kondo kodanam,University of Tehran,6,565,14,21,138,45,0,63,224,0,0,0,0,,,
2014,16,Unrefusable Offer [safe mode],Guilan U,6,580,8,20,125,38,0,68,241,0,0,0,0,,,
2014,17,!NNOC3NT,University of Isfahan,6,614,5,28,98,104,0,127,192,0,0,0,0,,,
2014,18,Code i7,Shiraz University,6,641,4,17,152,33,0,60,275,0,0,0,0,,,
2014,19,Knight=Shovalie,University of Tehran,6,642,5,22,199,50,0,68,258,0,0,0,0,,,
2014,20,Choghondar,Sharif University of Technology,6,684,4,15,297,82,0,50,196,0,0,0,0,,,
2014,21,DOKHANIAT,University of Isfahan,6,695,7,21,181,85,0,133,208,0,0,0,0,,,
2014,22,Night's Watch,Shahid Beheshti University,6,716,14,35,89,149,0,196,233,0,0,0,0,,,
2014,23,Para2x,Shiraz University,6,763,5,21,88,50,0,170,289,0,0,0,0,,,
2014,24,KonKooria For Fun,Shahid Beheshti University,6,792,6,24,190,124,0,65,263,0,0,0,0,,,
2014,25,Wii not fit,University of Tehran,6,858,6,105,205,70,0,87,225,0,0,0,0,,,
2014,26,Team 47,Isfahan University of Technology,6,871,3,16,195,138,0,132,247,0,0,0,0,,,
2014,27,Shepel,Amirkabir University of Technology,5,383,3,19,157,98,0,46,0,0,0,0,0,,,
2014,28,Promotion,Urmia University,5,434,21,26,72,147,0,128,0,0,0,0,0,,,
2014,29,OiT,University of Tehran,5,491,6,21,239,77,0,48,0,0,0,0,0,,,
2014,30,Khwarizmi Redemption,Kharazmi University,5,511,8,29,0,66,0,118,290,0,0,0,0,,,
2014,31,Euler,University of Tabriz,5,529,12,35,212,100,0,130,0,0,0,0,0,,,
2014,32,dampaE,Shahid Beheshti University,5,566,5,23,270,125,0,63,0,0,0,0,0,,,
2014,33,Nine,Ferdowsi University of Mashhad,5,590,3,21,237,89,0,180,0,0,0,0,0,,,
2014,34,TiZii,Isfahan University of Technology,5,700,4,23,291,145,0,177,0,0,0,0,0,,,
2014,35,Donuts,Shahid Beheshti University,5,752,14,24,229,247,0,98,0,0,0,0,0,,,
2014,36,Charan:D Run,Islamic Azad University of Parand,5,861,8,98,257,85,0,293,0,0,0,0,0,,,
2014,37,HeiSenBuG,Amirkabir University of Technology,4,128,3,19,0,59,0,47,0,0,0,0,0,,,
2014,38,msn+,Amirkabir University of Technology,4,228,5,23,0,66,0,114,0,0,0,0,0,,,
2014,39,Keyhan,Khaje Nasir Toosi University of Technology,4,266,4,29,0,118,0,95,0,0,0,0,0,,,
2014,40,Booooogh!!!!!,Ghias-al-din Jamshid Kashani,4,302,10,48,0,90,0,154,0,0,0,0,0,,,
